Income,Tenure,FICO,Origination,Amount,Grade
150062,10+ years,692,Apr-02-2019,7000,D
52000,10+ years,782,Jun-20-2019,12500,B
60000,2 years,722,,3600,B
110070,0 years,797,Apr-03-2019,8000,A
50000,10+ years,687,Jun-09-2019,21875,D
65000,2 years,762,May-30-2019,12000,A
80000,10+ years,787,Jun-27-2019,2850,A
110095,2 years,692,Apr-20-2019,8400,A
42000,10+ years,707,Jun-29-2019,15000,A
92300,5 years,667,May-25-2019,3000,C
45000,2 years,747,Jun-22-2019,35000,B
140069,5 years,662,Jun-16-2019,25000,C
50000,0 years,"NA",Jun-03-2019,40000,C
80000,2 years,687,Jun-28-2019,10000,C
52000,2 years,767,Apr-15-2019,14000,B
225100,3 years,732,May-02-2019,5625,A
60000,10+ years,722,Jun-15-2019,6025,B
67534.08,10+ years,702,Apr-03-2019,11000,B
66000,2 years,697,Jun-01-2019,12750,B
40000,9 years,722,Jun-08-2019,26600,D
95000,10+ years,702,Apr-10-2019,14000,A
350075,1 year,752,May-05-2019,6650,A
72000,10+ years,672,May-10-2019,10000,C
51000,8 years,687,Apr-01-2019,7500,B
60000,10+ years,742,May-30-2019,9500,A
140071,10+ years,752,May-12-2019,28000,B
143047,3 years,707,May-21-2019,30000,D
38480,2 years,752,May-11-2019,1400,A
90000,6 years,712,May-07-2019,8000,C
75000,5 years,747,Jun-29-2019,20000,B
80000,0 years,822,May-11-2019,14725,B
60000,10+ years,667,Apr-28-2019,12000,A
96000,0 years,707,Apr-13-2019,6000,C
100059,3 years,732,Jun-25-2019,6500,A
100064,3 years,697,May-02-2019,16000,B
55000,4 years,687,Jun-08-2019,25000,D
42000,10+ years,717,May-18-2019,20000,D
110035,9 years,667,Jun-13-2019,12000,C
30000,2 years,797,Apr-22-2019,6000,A
100027,4 years,767,Apr-30-2019,7525,A
13000,5 years,722,Jun-03-2019,1000,D
90000,1 year,732,May-17-2019,20000,B
330018,2 years,732,May-13-2019,20000,B
30000,0 years,672,Apr-23-2019,5000,C
63000,10+ years,722,Jun-24-2019,10625,C
350008,4 years,697,Apr-24-2019,6375,A
60000,2 years,772,May-02-2019,10400,B
45644.5,4 years,712,Apr-15-2019,6000,C
50000,10+ years,712,Jun-13-2019,12000,C
100029,6 years,687,Apr-18-2019,6000,A
65000,10+ years,687,Apr-18-2019,10625,B
52000,9 years,682,Jun-29-2019,4400,B
89000,10+ years,662,Apr-01-2019,10000,D
50000,2 years,707,Apr-25-2019,1200,C
88000,10+ years,727,Apr-26-2019,14875,B
42000,5 years,727,May-02-2019,3500,A
63000,0 years,697,May-26-2019,12000,C
315062,10+ years,727,Jun-20-2019,15000,A
